team_id,year,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team_id_tuple,team_id,year,new_id
2182,2015,57,1,50.0,40,1,0,59,1,70,2,67,2,0,50,1,58,1,45,1,1,"(2182, 2015)",2182,2015,21822015
2183,2010,30,0,,40,1,1,45,1,40,1,70,2,1,55,1,65,1,55,1,1,"(2183, 2010)",2183,2010,21832010
2183,2011,33,0,,47,1,1,69,2,40,1,53,1,1,55,1,34,1,51,1,1,"(2183, 2011)",2183,2011,21832011
2183,2012,34,1,,45,1,1,39,1,67,2,74,2,1,31,0,32,0,50,1,1,"(2183, 2012)",2183,2012,21832012
2183,2013,34,1,,45,1,1,39,1,52,1,40,1,1,57,1,32,0,50,1,1,"(2183, 2013)",2183,2013,21832013
2186,2010,30,0,,45,1,1,40,1,35,1,65,1,1,70,2,70,2,65,1,1,"(2186, 2010)",2186,2010,21862010
2186,2011,46,1,,51,1,1,48,1,48,1,52,1,1,48,1,33,0,63,1,1,"(2186, 2011)",2186,2011,21862011
2186,2012,57,1,,59,1,1,57,1,33,0,78,2,1,59,1,51,1,53,1,1,"(2186, 2012)",2186,2012,21862012
2186,2014,37,1,50.0,38,1,1,66,1,66,1,33,0,1,59,1,34,1,64,1,1,"(2186, 2014)",2186,2014,21862014
2186,2015,37,1,50.0,38,1,1,66,1,66,1,33,0,1,59,1,34,1,64,1,1,"(2186, 2015)",2186,2015,21862015
4087,2011,35,1,,65,1,1,50,1,65,1,65,1,1,45,1,55,1,65,1,1,"(4087, 2011)",4087,2011,40872011
4087,2012,53,1,,44,1,1,52,1,52,1,64,1,1,47,1,56,1,50,1,1,"(4087, 2012)",4087,2012,40872012
4087,2013,53,1,,44,1,1,52,1,52,1,64,1,1,47,1,56,1,50,1,1,"(4087, 2013)",4087,2013,40872013
4087,2014,61,1,51.0,44,1,1,52,1,61,1,48,1,1,47,1,56,1,50,1,1,"(4087, 2014)",4087,2014,40872014
4087,2015,58,1,35.0,56,1,1,52,1,61,1,51,1,1,47,1,43,1,50,1,1,"(4087, 2015)",4087,2015,40872015
4170,2010,45,1,,30,0,1,35,1,55,1,60,1,1,70,2,60,1,70,2,0,"(4170, 2010)",4170,2010,41702010
4170,2011,50,1,,35,1,1,35,1,65,1,65,1,1,35,1,55,1,65,1,1,"(4170, 2011)",4170,2011,41702011
4170,2012,49,1,,37,1,1,47,1,57,1,50,1,1,45,1,44,1,66,1,1,"(4170, 2012)",4170,2012,41702012
6269,2011,53,1,,35,1,1,50,1,64,1,49,1,1,60,1,51,1,40,1,0,"(6269, 2011)",6269,2011,62692011
6269,2012,55,1,,50,1,1,50,1,50,1,50,1,1,35,1,45,1,50,1,1,"(6269, 2012)",6269,2012,62692012
6269,2013,66,1,,62,1,1,56,1,55,1,61,1,1,36,1,49,1,62,1,1,"(6269, 2013)",6269,2013,62692013
6269,2014,66,1,57.0,56,1,1,56,1,55,1,57,1,1,36,1,49,1,53,1,1,"(6269, 2014)",6269,2014,62692014
6351,2011,50,1,,55,1,1,50,1,55,1,55,1,1,50,1,50,1,55,1,1,"(6351, 2011)",6351,2011,63512011
6391,2013,61,1,,52,1,1,55,1,66,1,58,1,1,47,1,46,1,53,1,1,"(6391, 2013)",6391,2013,63912013
6391,2015,48,1,53.0,52,1,1,55,1,53,1,55,1,1,42,1,46,1,53,1,1,"(6391, 2015)",6391,2015,63912015
6403,2010,30,0,,30,0,1,50,1,60,1,60,1,1,30,0,30,0,30,0,0,"(6403, 2010)",6403,2010,64032010
6403,2011,50,1,,50,1,1,50,1,49,1,49,1,1,45,1,55,1,50,1,0,"(6403, 2011)",6403,2011,64032011
6403,2012,38,1,,39,1,1,52,1,53,1,52,1,1,36,1,39,1,68,2,1,"(6403, 2012)",6403,2012,64032012
6403,2013,50,1,,39,1,1,52,1,53,1,52,1,1,36,1,39,1,64,1,1,"(6403, 2013)",6403,2013,64032013
6403,2014,38,1,40.0,39,1,1,52,1,53,1,52,1,1,36,1,39,1,64,1,1,"(6403, 2014)",6403,2014,64032014
6403,2015,63,1,40.0,39,1,1,64,1,53,1,52,1,1,36,1,39,1,64,1,1,"(6403, 2015)",6403,2015,64032015
6413,2013,47,1,,49,1,1,50,1,50,1,54,1,1,46,1,44,1,51,1,1,"(6413, 2013)",6413,2013,64132013
6413,2014,57,1,41.0,39,1,1,57,1,50,1,54,1,1,58,1,60,1,63,1,1,"(6413, 2014)",6413,2014,64132014
6413,2015,45,1,35.0,56,1,1,57,1,50,1,58,1,1,58,1,60,1,63,1,1,"(6413, 2015)",6413,2015,64132015
6421,2010,30,0,,30,0,1,50,1,50,1,65,1,1,30,0,30,0,30,0,1,"(6421, 2010)",6421,2010,64212010
6433,2014,55,1,47.0,42,1,1,37,1,42,1,53,1,1,43,1,47,1,51,1,1,"(6433, 2014)",6433,2014,64332014
6433,2015,58,1,38.0,64,1,1,37,1,42,1,52,1,1,43,1,47,1,51,1,1,"(6433, 2015)",6433,2015,64332015
6493,2010,40,1,,50,1,1,55,1,65,1,55,1,1,45,1,50,1,55,1,1,"(6493, 2010)",6493,2010,64932010
6493,2011,47,1,,54,1,1,55,1,38,1,55,1,1,32,0,50,1,56,1,1,"(6493, 2011)",6493,2011,64932011
6547,2015,54,1,54.0,39,1,1,52,1,56,1,38,1,1,40,1,35,1,46,1,1,"(6547, 2015)",6547,2015,65472015
6631,2015,39,1,33.0,62,1,1,62,1,66,1,48,1,1,51,1,58,1,55,1,1,"(6631, 2015)",6631,2015,66312015
7730,2010,30,0,,60,1,1,40,1,60,1,60,1,1,55,1,60,1,50,1,1,"(7730, 2010)",7730,2010,77302010
7730,2012,37,1,,49,1,1,52,1,60,1,48,1,1,43,1,43,1,55,1,1,"(7730, 2012)",7730,2012,77302012
7730,2013,51,1,,49,1,1,52,1,60,1,48,1,1,43,1,43,1,55,1,1,"(7730, 2013)",7730,2013,77302013
7730,2014,37,1,55.0,49,1,1,52,1,60,1,52,1,1,46,1,44,1,55,1,1,"(7730, 2014)",7730,2014,77302014
7788,2014,45,1,39.0,42,1,1,46,1,56,1,57,1,1,42,1,49,1,47,1,1,"(7788, 2014)",7788,2014,77882014
7788,2015,43,1,36.0,57,1,1,46,1,50,1,38,1,1,42,1,49,1,47,1,1,"(7788, 2015)",7788,2015,77882015
7794,2010,40,1,,45,1,1,50,1,35,1,55,1,1,70,2,70,2,70,2,0,"(7794, 2010)",7794,2010,77942010
7794,2012,50,1,,50,1,1,50,1,51,1,49,1,1,44,1,45,1,50,1,1,"(7794, 2012)",7794,2012,77942012
7794,2013,50,1,,50,1,1,50,1,51,1,49,1,1,44,1,45,1,50,1,1,"(7794, 2013)",7794,2013,77942013
7794,2014,67,2,61.0,43,1,1,56,1,51,1,49,1,1,39,1,47,1,48,1,1,"(7794, 2014)",7794,2014,77942014
7794,2015,61,1,61.0,52,1,1,56,1,51,1,49,1,1,44,1,55,1,48,1,1,"(7794, 2015)",7794,2015,77942015
7819,2010,65,1,,30,0,1,50,1,65,1,40,1,1,70,2,65,1,70,2,1,"(7819, 2010)",7819,2010,78192010
7819,2011,65,1,,35,1,1,35,1,65,1,65,1,1,55,1,45,1,65,1,1,"(7819, 2011)",7819,2011,78192011
7819,2012,48,1,,52,1,1,48,1,54,1,53,1,1,47,1,45,1,51,1,1,"(7819, 2012)",7819,2012,78192012
7819,2013,48,1,,52,1,1,48,1,54,1,53,1,1,47,1,45,1,51,1,1,"(7819, 2013)",7819,2013,78192013
7819,2014,62,1,50.0,45,1,1,48,1,54,1,53,1,1,43,1,42,1,51,1,1,"(7819, 2014)",7819,2014,78192014
7819,2015,62,1,50.0,45,1,1,48,1,54,1,53,1,1,43,1,42,1,51,1,1,"(7819, 2015)",7819,2015,78192015
7841,2010,30,0,,30,0,1,45,1,55,1,60,1,1,30,0,30,0,30,0,0,"(7841, 2010)",7841,2010,78412010
7841,2011,50,1,,50,1,1,65,1,65,1,50,1,1,45,1,45,1,50,1,0,"(7841, 2011)",7841,2011,78412011
7841,2012,36,1,,38,1,1,60,1,54,1,54,1,1,39,1,50,1,42,1,1,"(7841, 2012)",7841,2012,78412012
7841,2013,36,1,,38,1,1,60,1,54,1,54,1,1,39,1,50,1,42,1,1,"(7841, 2013)",7841,2013,78412013
7841,2014,66,1,47.0,44,1,1,58,1,65,1,54,1,1,39,1,48,1,66,1,1,"(7841, 2014)",7841,2014,78412014
7841,2015,66,1,47.0,44,1,1,58,1,65,1,54,1,1,39,1,48,1,66,1,1,"(7841, 2015)",7841,2015,78412015
7842,2013,66,1,,52,1,1,47,1,53,1,39,1,0,46,1,49,1,55,1,1,"(7842, 2013)",7842,2013,78422013
7842,2014,66,1,56.0,52,1,1,47,1,53,1,39,1,1,46,1,49,1,55,1,1,"(7842, 2014)",7842,2014,78422014
7842,2015,59,1,56.0,52,1,1,47,1,53,1,39,1,1,46,1,49,1,55,1,1,"(7842, 2015)",7842,2015,78422015
7844,2010,30,0,,30,0,1,55,1,55,1,55,1,1,30,0,30,0,30,0,0,"(7844, 2010)",7844,2010,78442010
7844,2011,65,1,,47,1,1,65,1,50,1,49,1,1,55,1,55,1,48,1,0,"(7844, 2011)",7844,2011,78442011
7844,2012,40,1,,39,1,1,53,1,68,2,58,1,1,50,1,59,1,68,2,1,"(7844, 2012)",7844,2012,78442012
7844,2013,40,1,,39,1,1,53,1,68,2,58,1,1,50,1,59,1,64,1,1,"(7844, 2013)",7844,2013,78442013
7844,2014,40,1,52.0,39,1,1,53,1,62,1,58,1,1,37,1,40,1,64,1,1,"(7844, 2014)",7844,2014,78442014
7844,2015,40,1,52.0,39,1,1,53,1,62,1,58,1,1,37,1,40,1,64,1,1,"(7844, 2015)",7844,2015,78442015
7869,2010,30,0,,30,0,1,35,1,45,1,60,1,1,35,1,30,0,40,1,1,"(7869, 2010)",7869,2010,78692010
7869,2011,39,1,,41,1,1,40,1,42,1,46,1,1,40,1,38,1,44,1,1,"(7869, 2011)",7869,2011,78692011
7869,2012,40,1,,53,1,1,40,1,71,2,48,1,1,36,1,41,1,52,1,1,"(7869, 2012)",7869,2012,78692012
7869,2013,40,1,,53,1,1,40,1,71,2,48,1,1,36,1,41,1,52,1,1,"(7869, 2013)",7869,2013,78692013
7869,2014,40,1,53.0,53,1,1,40,1,66,1,48,1,1,36,1,41,1,52,1,1,"(7869, 2014)",7869,2014,78692014
7869,2015,53,1,40.0,48,1,1,55,1,59,1,57,1,1,38,1,39,1,52,1,1,"(7869, 2015)",7869,2015,78692015
7878,2011,53,1,,52,1,1,54,1,59,1,55,1,1,54,1,49,1,67,2,1,"(7878, 2011)",7878,2011,78782011
7878,2012,48,1,,37,1,1,72,2,76,2,52,1,1,49,1,45,1,68,2,1,"(7878, 2012)",7878,2012,78782012
7878,2013,52,1,,37,1,1,72,2,76,2,52,1,1,49,1,45,1,68,2,1,"(7878, 2013)",7878,2013,78782013
7878,2014,52,1,62.0,37,1,1,67,2,68,2,52,1,1,49,1,45,1,64,1,1,"(7878, 2014)",7878,2014,78782014
7878,2015,57,1,50.0,59,1,1,61,1,63,1,51,1,1,48,1,45,1,62,1,1,"(7878, 2015)",7878,2015,78782015
7943,2010,30,0,,30,0,1,30,0,30,0,60,1,1,30,0,30,0,30,0,1,"(7943, 2010)",7943,2010,79432010
7943,2011,50,1,,50,1,1,50,1,61,1,60,1,1,45,1,30,0,30,0,1,"(7943, 2011)",7943,2011,79432011
7943,2012,50,1,,50,1,1,50,1,50,1,50,1,1,35,1,45,1,50,1,1,"(7943, 2012)",7943,2012,79432012
7943,2013,57,1,,60,1,1,56,1,63,1,64,1,1,38,1,47,1,53,1,0,"(7943, 2013)",7943,2013,79432013
7943,2014,57,1,71.0,60,1,1,66,1,57,1,63,1,1,54,1,47,1,36,1,0,"(7943, 2014)",7943,2014,79432014
7943,2015,57,1,65.0,60,1,1,56,1,57,1,56,1,1,38,1,47,1,53,1,1,"(7943, 2015)",7943,2015,79432015
7955,2010,60,1,,45,1,1,60,1,70,2,60,1,1,50,1,45,1,55,1,1,"(7955, 2010)",7955,2010,79552010
7955,2011,54,1,,47,1,1,37,1,48,1,53,1,1,49,1,45,1,52,1,1,"(7955, 2011)",7955,2011,79552011
7955,2012,49,1,,50,1,1,39,1,48,1,34,1,1,34,1,31,0,51,1,1,"(7955, 2012)",7955,2012,79552012
8019,2015,41,1,40.0,59,1,1,41,1,44,1,54,1,1,52,1,47,1,50,1,1,"(8019, 2015)",8019,2015,80192015
8020,2010,30,0,,50,1,1,45,1,35,1,70,2,1,60,1,70,2,55,1,1,"(8020, 2010)",8020,2010,80202010
8020,2011,46,1,,38,1,1,36,1,33,0,53,1,1,53,1,54,1,55,1,1,"(8020, 2011)",8020,2011,80202011
8021,2010,55,1,,60,1,1,30,0,40,1,70,2,1,70,2,70,2,70,2,1,"(8021, 2010)",8021,2010,80212010
8021,2011,54,1,,37,1,1,48,1,38,1,37,1,1,47,1,58,1,52,1,1,"(8021, 2011)",8021,2011,80212011
8021,2012,33,0,,38,1,1,67,2,52,1,73,2,1,58,1,47,1,52,1,1,"(8021, 2012)",8021,2012,80212012
8021,2013,33,0,,38,1,1,67,2,52,1,48,1,1,58,1,47,1,52,1,1,"(8021, 2013)",8021,2013,80212013
8021,2014,33,0,49.0,51,1,1,38,1,63,1,48,1,1,58,1,38,1,52,1,1,"(8021, 2014)",8021,2014,80212014
8023,2013,67,2,,54,1,1,56,1,62,1,67,2,1,47,1,47,1,63,1,1,"(8023, 2013)",8023,2013,80232013
8023,2014,50,1,48.0,36,1,0,52,1,36,1,52,1,1,50,1,60,1,47,1,1,"(8023, 2014)",8023,2014,80232014
8023,2015,50,1,33.0,36,1,1,52,1,40,1,52,1,1,57,1,54,1,47,1,1,"(8023, 2015)",8023,2015,80232015
8024,2011,63,1,,48,1,1,48,1,68,2,53,1,1,37,1,58,1,63,1,1,"(8024, 2011)",8024,2011,80242011
8024,2012,66,1,,72,2,1,70,2,61,1,54,1,1,32,0,32,0,62,1,1,"(8024, 2012)",8024,2012,80242012
8024,2013,66,1,,59,1,1,43,1,61,1,54,1,1,32,0,43,1,46,1,1,"(8024, 2013)",8024,2013,80242013
8024,2014,66,1,52.0,72,2,1,66,1,67,2,51,1,1,36,1,38,1,65,1,1,"(8024, 2014)",8024,2014,80242014
8025,2010,30,0,,45,1,1,45,1,35,1,70,2,1,60,1,70,2,50,1,1,"(8025, 2010)",8025,2010,80252010
8025,2011,47,1,,55,1,1,45,1,48,1,54,1,1,48,1,47,1,51,1,1,"(8025, 2011)",8025,2011,80252011
8025,2012,65,1,,63,1,1,67,2,31,0,67,2,1,24,0,24,0,39,1,1,"(8025, 2012)",8025,2012,80252012
8025,2013,65,1,,50,1,1,67,2,31,0,67,2,1,30,0,30,0,40,1,1,"(8025, 2013)",8025,2013,80252013
8025,2014,47,1,53.0,34,1,1,38,1,36,1,68,2,1,37,1,37,1,39,1,1,"(8025, 2014)",8025,2014,80252014
8025,2015,50,1,55.0,35,1,1,51,1,51,1,55,1,1,45,1,55,1,39,1,1,"(8025, 2015)",8025,2015,80252015
8027,2014,54,1,51.0,40,1,1,67,2,49,1,52,1,1,44,1,47,1,52,1,1,"(8027, 2014)",8027,2014,80272014
8027,2015,54,1,51.0,40,1,1,46,1,49,1,52,1,1,44,1,47,1,52,1,1,"(8027, 2015)",8027,2015,80272015
8028,2010,30,0,,45,1,1,45,1,35,1,70,2,1,65,1,70,2,60,1,1,"(8028, 2010)",8028,2010,80282010
8028,2013,30,0,,46,1,1,48,1,37,1,39,1,1,32,0,45,1,48,1,1,"(8028, 2013)",8028,2013,80282013
8028,2014,64,1,52.0,67,2,1,64,1,66,1,39,1,1,36,1,45,1,48,1,1,"(8028, 2014)",8028,2014,80282014
8028,2015,64,1,52.0,67,2,1,64,1,66,1,39,1,1,36,1,45,1,48,1,1,"(8028, 2015)",8028,2015,80282015
8030,2010,30,0,,45,1,1,45,1,35,1,70,2,1,70,2,70,2,65,1,1,"(8030, 2010)",8030,2010,80302010
8030,2011,63,1,,37,1,1,68,2,30,0,52,1,1,46,1,60,1,47,1,1,"(8030, 2011)",8030,2011,80302011
8030,2012,44,1,,52,1,1,50,1,53,1,68,2,1,49,1,48,1,65,1,1,"(8030, 2012)",8030,2012,80302012
8030,2013,44,1,,52,1,1,50,1,53,1,68,2,1,49,1,59,1,60,1,1,"(8030, 2013)",8030,2013,80302013
8030,2014,62,1,48.0,52,1,1,50,1,63,1,52,1,1,37,1,58,1,63,1,1,"(8030, 2014)",8030,2014,80302014
8030,2015,62,1,48.0,52,1,0,66,1,59,1,58,1,1,51,1,58,1,40,1,1,"(8030, 2015)",8030,2015,80302015
8031,2010,30,0,,50,1,1,45,1,35,1,70,2,1,60,1,70,2,55,1,1,"(8031, 2010)",8031,2010,80312010
8031,2011,46,1,,38,1,1,36,1,33,0,53,1,1,53,1,54,1,55,1,1,"(8031, 2011)",8031,2011,80312011
8033,2012,54,1,,51,1,1,48,1,47,1,42,1,1,47,1,57,1,48,1,1,"(8033, 2012)",8033,2012,80332012
8033,2013,54,1,,51,1,1,48,1,47,1,42,1,1,47,1,57,1,48,1,1,"(8033, 2013)",8033,2013,80332013
8033,2014,72,2,55.0,66,1,1,66,1,51,1,49,1,1,29,0,35,1,38,1,1,"(8033, 2014)",8033,2014,80332014
8033,2015,68,2,55.0,66,1,1,66,1,51,1,49,1,1,29,0,35,1,38,1,1,"(8033, 2015)",8033,2015,80332015
8066,2011,36,1,,67,2,1,66,1,37,1,51,1,1,37,1,57,1,36,1,1,"(8066, 2011)",8066,2011,80662011
8066,2012,61,1,,59,1,1,48,1,52,1,54,1,1,40,1,40,1,46,1,1,"(8066, 2012)",8066,2012,80662012
8066,2013,35,1,,54,1,1,56,1,54,1,61,1,1,47,1,46,1,46,1,1,"(8066, 2013)",8066,2013,80662013
8066,2014,61,1,49.0,59,1,1,50,1,57,1,55,1,1,43,1,41,1,46,1,1,"(8066, 2014)",8066,2014,80662014
8066,2015,48,1,47.0,32,0,1,57,1,48,1,69,2,0,44,1,44,1,51,1,1,"(8066, 2015)",8066,2015,80662015
8121,2010,45,1,,35,1,1,35,1,50,1,60,1,1,30,0,55,1,30,0,0,"(8121, 2010)",8121,2010,81212010
8121,2011,65,1,,50,1,1,50,1,65,1,65,1,1,45,1,45,1,50,1,1,"(8121, 2011)",8121,2011,81212011
8121,2012,50,1,,50,1,1,52,1,52,1,48,1,1,44,1,44,1,51,1,1,"(8121, 2012)",8121,2012,81212012
8121,2013,50,1,,50,1,1,52,1,52,1,48,1,1,44,1,44,1,51,1,1,"(8121, 2013)",8121,2013,81212013
8121,2014,48,1,61.0,50,1,1,40,1,52,1,48,1,1,44,1,44,1,51,1,1,"(8121, 2014)",8121,2014,81212014
8121,2015,48,1,61.0,50,1,1,40,1,52,1,48,1,1,44,1,44,1,51,1,1,"(8121, 2015)",8121,2015,81212015
8152,2010,60,1,,60,1,1,50,1,70,2,70,2,1,60,1,70,2,55,1,1,"(8152, 2010)",8152,2010,81522010
8152,2011,60,1,,42,1,1,63,1,55,1,56,1,1,49,1,60,1,55,1,1,"(8152, 2011)",8152,2011,81522011
8152,2012,53,1,,64,1,1,60,1,34,1,53,1,1,49,1,44,1,59,1,1,"(8152, 2012)",8152,2012,81522012
8152,2013,53,1,,56,1,1,62,1,46,1,53,1,1,49,1,44,1,57,1,1,"(8152, 2013)",8152,2013,81522013
8152,2014,53,1,52.0,56,1,1,68,2,53,1,34,1,1,46,1,44,1,54,1,1,"(8152, 2014)",8152,2014,81522014
8152,2015,52,1,52.0,56,1,1,62,1,53,1,38,1,1,39,1,44,1,57,1,1,"(8152, 2015)",8152,2015,81522015
8165,2010,45,1,,50,1,1,40,1,70,2,70,2,1,55,1,55,1,40,1,1,"(8165, 2010)",8165,2010,81652010
8165,2011,45,1,,50,1,1,47,1,45,1,56,1,1,55,1,61,1,46,1,1,"(8165, 2011)",8165,2011,81652011
8165,2012,44,1,,49,1,1,51,1,49,1,48,1,1,30,0,40,1,43,1,1,"(8165, 2012)",8165,2012,81652012
8165,2013,46,1,,49,1,1,56,1,54,1,67,2,1,39,1,57,1,44,1,1,"(8165, 2013)",8165,2013,81652013
8165,2014,46,1,62.0,38,1,1,58,1,48,1,55,1,1,51,1,50,1,47,1,1,"(8165, 2014)",8165,2014,81652014
8165,2015,46,1,58.0,49,1,1,51,1,52,1,59,1,1,30,0,40,1,44,1,1,"(8165, 2015)",8165,2015,81652015
8177,2010,60,1,,50,1,1,45,1,55,1,55,1,1,55,1,30,0,55,1,1,"(8177, 2010)",8177,2010,81772010
8177,2011,59,1,,43,1,1,56,1,50,1,66,1,1,50,1,43,1,55,1,1,"(8177, 2011)",8177,2011,81772011
8177,2012,48,1,,45,1,1,45,1,51,1,46,1,1,50,1,50,1,55,1,1,"(8177, 2012)",8177,2012,81772012
8177,2013,40,1,,55,1,1,63,1,46,1,63,1,1,50,1,38,1,55,1,1,"(8177, 2013)",8177,2013,81772013
8177,2014,68,2,52.0,55,1,1,51,1,59,1,59,1,1,41,1,60,1,51,1,1,"(8177, 2014)",8177,2014,81772014
8177,2015,47,1,44.0,55,1,1,59,1,68,2,45,1,1,50,1,45,1,57,1,1,"(8177, 2015)",8177,2015,81772015
8178,2010,70,2,,30,0,1,70,2,70,2,70,2,1,70,2,60,1,70,2,1,"(8178, 2010)",8178,2010,81782010
8178,2011,67,2,,38,1,1,51,1,47,1,55,1,1,57,1,39,1,51,1,1,"(8178, 2011)",8178,2011,81782011
8178,2012,58,1,,55,1,1,52,1,55,1,56,1,1,50,1,42,1,47,1,1,"(8178, 2012)",8178,2012,81782012
8178,2013,64,1,,55,1,1,52,1,54,1,37,1,1,58,1,38,1,47,1,1,"(8178, 2013)",8178,2013,81782013
8178,2014,69,2,30.0,55,1,1,52,1,55,1,39,1,1,50,1,46,1,54,1,1,"(8178, 2014)",8178,2014,81782014
8178,2015,73,2,29.0,55,1,1,77,2,54,1,61,1,1,61,1,72,2,50,1,1,"(8178, 2015)",8178,2015,81782015
8191,2010,70,2,,65,1,1,70,2,70,2,70,2,1,65,1,70,2,70,2,1,"(8191, 2010)",8191,2010,81912010
8191,2011,36,1,,52,1,1,49,1,68,2,55,1,1,24,0,56,1,66,1,1,"(8191, 2011)",8191,2011,81912011
8191,2012,48,1,,44,1,1,56,1,58,1,48,1,1,52,1,50,1,58,1,1,"(8191, 2012)",8191,2012,81912012
8191,2013,54,1,,55,1,1,56,1,59,1,48,1,1,48,1,50,1,58,1,1,"(8191, 2013)",8191,2013,81912013
8191,2014,48,1,32.0,74,2,1,72,2,59,1,58,1,1,54,1,57,1,58,1,1,"(8191, 2014)",8191,2014,81912014
8191,2015,54,1,32.0,67,2,1,72,2,57,1,47,1,1,63,1,62,1,58,1,1,"(8191, 2015)",8191,2015,81912015
8194,2010,65,1,,35,1,1,70,2,50,1,52,1,0,45,1,70,2,54,1,1,"(8194, 2010)",8194,2010,81942010
8194,2011,51,1,,38,1,1,52,1,40,1,54,1,1,46,1,59,1,34,1,1,"(8194, 2011)",8194,2011,81942011
8194,2012,67,2,,47,1,1,67,2,68,2,55,1,1,56,1,57,1,52,1,1,"(8194, 2012)",8194,2012,81942012
8194,2013,41,1,,69,2,1,55,1,68,2,52,1,1,24,0,48,1,45,1,1,"(8194, 2013)",8194,2013,81942013
8194,2014,72,2,69.0,57,1,1,55,1,49,1,37,1,1,47,1,48,1,50,1,1,"(8194, 2014)",8194,2014,81942014
8194,2015,47,1,62.0,47,1,1,55,1,68,2,55,1,1,56,1,57,1,52,1,1,"(8194, 2015)",8194,2015,81942015
