"fav","homelosses","againsthomerevenue","homegames","againsthomerev_multiple","awaylosses","againstawayrevenue","awaygames","againstawayrev_multiple"
86352015,1,4.33,16,0.270625,1,4.22,10,0.422
86362011,2,8.1,19,0.426315789473684,4,18.55,12,1.54583333333333
86362012,4,34.4,17,2.02352941176471,3,13.6,6,2.26666666666667
86362013,2,10.82,12,0.901666666666667,1,4.04,6,0.673333333333333
86362014,3,26,16,1.625,3,12.27,8,1.53375
86362016,2,12.05,9,1.33888888888889,1,3.8,5,0.76
86392010,1,6,16,0.375,3,14.08,9,1.56444444444444
86392011,1,7,20,0.35,2,7.6,10,0.76
86392012,1,5.75,17,0.338235294117647,1,5.5,10,0.55
86392013,3,19.9,18,1.10555555555556,2,7.87,10,0.787
86392014,2,16,16,1,3,11.47,9,1.27444444444444
86402008,1,11,9,1.22222222222222,1,3.8,4,0.95
86402010,1,4.75,18,0.263888888888889,2,14,15,0.933333333333333
86402011,1,13,14,0.928571428571429,2,7.4,13,0.569230769230769
86402012,2,13.1,18,0.727777777777778,5,32.82,15,2.188
86402013,2,24,16,1.5,5,25.28,12,2.10666666666667
86402014,1,10.5,15,0.7,4,18.1,13,1.39230769230769
86402015,1,6,16,0.375,1,4.8,14,0.342857142857143
86502009,1,8,16,0.5,4,20.48,15,1.36533333333333
86502010,2,22,14,1.57142857142857,3,14.4,9,1.6
86502011,1,5,16,0.3125,5,18.45,8,2.30625
86502012,6,44.65,17,2.62647058823529,6,27.21,13,2.09307692307692
86502013,2,16.4,17,0.964705882352941,2,11.55,10,1.155
86502014,2,17.35,17,1.02058823529412,3,13.01,14,0.929285714285714
86502015,4,28.01,17,1.64764705882353,4,18.17,9,2.01888888888889
86502016,1,3.5,7,0.5,1,4.1,5,0.82
86682012,1,7,11,0.636363636363636,1,4.53,5,0.906
86682013,1,11.08,15,0.738666666666667,2,7.33,4,1.8325
86862009,1,11,17,0.647058823529412,1,3.6,5,0.72
86862010,1,8,16,0.5,1,3.6,7,0.514285714285714
86862011,4,23,14,1.64285714285714,1,7,7,1
86862012,3,20.61,17,1.21235294117647,2,8.1,6,1.35
86862013,2,19.19,17,1.12882352941176,2,7.31,7,1.04428571428571
86862015,3,22.78,16,1.42375,2,8.9,13,0.684615384615385
86972008,1,3.55,8,0.44375,2,9.35,4,2.3375
86972009,4,27.5,14,1.96428571428571,1,4.33,5,0.866
86972010,3,19.5,14,1.39285714285714,3,11.5,6,1.91666666666667
87212009,4,20.63,17,1.21352941176471,1,6,8,0.75
87212016,1,4.69,6,0.781666666666667,2,7.25,3,2.41666666666667
97482009,3,30,19,1.57894736842105,2,10.75,12,0.895833333333333
97482010,1,5.5,18,0.305555555555556,1,4.33,11,0.393636363636364
97482011,1,5.4,18,0.3,5,19.75,11,1.79545454545455
97482012,3,19.01,18,1.05611111111111,1,3.9,4,0.975
97482013,3,18.83,16,1.176875,4,16.51,7,2.35857142857143
97482015,4,28.52,17,1.67764705882353,2,8.64,9,0.96
97612008,2,14,5,2.8,1,3.65,3,1.21666666666667
97682010,3,27,12,2.25,2,8.75,13,0.673076923076923
97682011,3,26,14,1.85714285714286,1,3.6,10,0.36
97682012,1,10,11,0.909090909090909,4,20.94,10,2.094
97682014,1,6.75,12,0.5625,1,4.58,13,0.352307692307692
97722009,2,18.5,15,1.23333333333333,3,15.6,12,1.3
97722010,1,17,16,1.0625,2,12.5,12,1.04166666666667
97722015,1,3.7,17,0.217647058823529,3,28.02,13,2.15538461538462
97732008,1,15,6,2.5,1,6,4,1.5
97732014,2,13.21,16,0.825625,3,22.16,11,2.01454545454545
97732016,2,55.57,8,6.94625,3,23.74,9,2.63777777777778
97892010,1,6.25,11,0.568181818181818,3,12.55,10,1.255
97892011,1,8.5,17,0.5,4,20,9,2.22222222222222
97892012,2,17.35,16,1.084375,1,6.1,16,0.38125
97892013,4,38.49,16,2.405625,3,14.09,15,0.939333333333333
97892014,4,37.97,16,2.373125,7,42.24,15,2.816
97892015,1,8.27,16,0.516875,2,16,13,1.23076923076923
97902009,4,34.3,14,2.45,1,4.33,7,0.618571428571429
97902010,2,11.9,12,0.991666666666667,1,3.8,3,1.26666666666667
97912012,1,7.5,12,0.625,1,3.8,3,1.26666666666667
98042015,2,11,10,1.1,1,3.8,4,0.95
98232008,1,5.5,8,0.6875,1,7,7,1
98232009,2,19.75,18,1.09722222222222,3,15.05,13,1.15769230769231
98232010,2,14,17,0.823529411764706,3,18.75,11,1.70454545454545
98232011,3,25.25,17,1.48529411764706,4,30.9,17,1.81764705882353
98232012,1,13.6,17,0.8,2,10.25,15,0.683333333333333
98232014,1,6.54,17,0.384705882352941,1,9,18,0.5
98232015,2,25.18,17,1.48117647058824,3,23.7,16,1.48125
98252008,2,28,8,3.5,3,18.5,8,2.3125
98252010,3,35.5,17,2.08823529411765,2,10.25,11,0.931818181818182
98252011,1,10,18,0.555555555555556,3,15.1,13,1.16153846153846
98252012,3,23.1,15,1.54,4,21.83,14,1.55928571428571
98252014,1,3.6,17,0.211764705882353,3,13.95,12,1.1625
98252015,2,23.5,17,1.38235294117647,2,10.6,14,0.757142857142857
98272009,1,9,18,0.5,2,8.13,12,0.6775
98272010,4,29.25,17,1.72058823529412,4,18.05,8,2.25625
98272014,1,4.6,13,0.353846153846154,1,3.97,3,1.32333333333333
98292014,2,18.32,16,1.145,1,4.74,10,0.474
98292015,1,6,16,0.375,1,3.5,11,0.318181818181818
98472009,4,23.9,18,1.32777777777778,1,3.75,6,0.625
98472012,2,15.5,19,0.815789473684211,2,9.01,14,0.643571428571429
98472014,1,17,18,0.944444444444444,2,13.1,19,0.689473684210526
98472016,1,11.46,11,1.04181818181818,1,5,8,0.625
98532013,2,9.17,16,0.573125,1,3.7,8,0.4625
98532015,1,5.75,16,0.359375,2,7.23,6,1.205
98602012,3,16.35,11,1.48636363636364,1,5.23,4,1.3075
98752011,3,18.25,17,1.07352941176471,2,7.7,6,1.28333333333333
98752012,2,20.03,18,1.11277777777778,2,9.55,7,1.36428571428571
98752013,1,7.99,17,0.47,1,4.04,7,0.577142857142857
98752014,2,15.86,15,1.05733333333333,2,8.13,14,0.580714285714286
98852009,3,28,18,1.55555555555556,4,17.38,12,1.44833333333333
98852010,3,20.25,16,1.265625,2,7.93,9,0.881111111111111
98852011,3,21.2,16,1.325,2,10,7,1.42857142857143
98852012,1,5.85,19,0.307894736842105,1,3.54,17,0.208235294117647
98852013,1,19.2,18,1.06666666666667,3,12.45,18,0.691666666666667
98852015,1,13,19,0.684210526315789,3,22.35,12,1.8625
99062013,1,7.5,17,0.441176470588235,2,8.85,11,0.804545454545455
99062014,1,6.31,16,0.394375,4,43.47,15,2.898
99082011,2,8.5,10,0.85,1,3.6,4,0.9
99252008,1,3.8,10,0.38,1,6,9,0.666666666666667
99252010,2,11.5,20,0.575,3,26.5,16,1.65625
99252011,1,17,19,0.894736842105263,3,26,19,1.36842105263158
99252012,2,32.04,17,1.88470588235294,4,26.8,20,1.34
99252014,1,12,21,0.571428571428571,3,19.73,17,1.16058823529412
99252015,2,39.66,18,2.20333333333333,1,4.5,21,0.214285714285714
99382012,3,12.34,15,0.822666666666667,1,3.93,4,0.9825
99382014,1,4.33,14,0.309285714285714,3,11.07,7,1.58142857142857
99852009,1,13,18,0.722222222222222,4,18.9,14,1.35
99852010,2,17,12,1.41666666666667,1,3.5,3,1.16666666666667
99852014,4,21.66,9,2.40666666666667,1,3.8,3,1.26666666666667
99852015,3,18.09,13,1.39153846153846,1,3.75,5,0.75
99872010,1,4,10,0.4,1,4.5,9,0.5
99872011,1,9.5,12,0.791666666666667,1,3.5,6,0.583333333333333
99872012,2,10.06,12,0.838333333333333,1,5.4,5,1.08
99872015,2,11.66,11,1.06,1,3.6,4,0.9
99912009,3,18,13,1.38461538461538,1,4.5,5,0.9
99912012,6,38.34,14,2.73857142857143,2,9.25,6,1.54166666666667
99912015,1,7.08,13,0.544615384615385,1,4.54,12,0.378333333333333
101672014,3,14.2,10,1.42,1,3.5,3,1.16666666666667
101892009,4,21.1,14,1.50714285714286,2,7.2,6,1.2
101892010,1,10,11,0.909090909090909,2,8.75,6,1.45833333333333
101892012,1,5.5,15,0.366666666666667,3,13.42,7,1.91714285714286
102052011,2,17.2,16,1.075,2,7.1,3,2.36666666666667
102052014,2,10.77,14,0.769285714285714,1,4.12,7,0.588571428571429
102052015,3,15.03,16,0.939375,2,8.13,8,1.01625
102142014,1,4.33,8,0.54125,1,3.94,3,1.31333333333333
102282011,3,17.55,9,1.95,1,5,4,1.25
102282012,3,15.63,13,1.20230769230769,1,4.5,4,1.125
102292008,1,5,7,0.714285714285714,1,3.75,4,0.9375
102292009,3,30.75,16,1.921875,2,14,9,1.55555555555556
102292010,2,13.25,15,0.883333333333333,1,4.75,9,0.527777777777778
102292012,2,20.75,15,1.38333333333333,3,14.58,6,2.43
102292013,3,18.6,11,1.69090909090909,3,15.47,4,3.8675
102352009,1,7,12,0.583333333333333,2,9.15,5,1.83
102352010,1,3.5,12,0.291666666666667,1,8,4,2
102352011,3,22.5,11,2.04545454545455,1,5,3,1.66666666666667
102352013,2,13.9,15,0.926666666666667,4,21.49,11,1.95363636363636
102352014,2,16.54,14,1.18142857142857,1,6,11,0.545454545454545
102352015,2,21.33,14,1.52357142857143,5,24.39,16,1.524375
102352016,2,19.5,8,2.4375,2,7.6,4,1.9
102492012,1,6.29,14,0.449285714285714,3,10.92,7,1.56
102602009,2,12.75,21,0.607142857142857,3,27.5,15,1.83333333333333
102602011,2,32.8,18,1.82222222222222,1,8.5,15,0.566666666666667
102602012,1,6.5,19,0.342105263157895,4,28.1,13,2.16153846153846
102602014,3,25.38,17,1.49294117647059,2,12.75,10,1.275
102602015,3,23.65,14,1.68928571428571,4,15.05,12,1.25416666666667
102602016,1,4.84,9,0.537777777777778,2,9.83,4,2.4575
102642009,1,5.5,12,0.458333333333333,1,3.75,6,0.625
102642010,1,7.75,14,0.553571428571429,1,5.5,9,0.611111111111111
102642011,1,6,10,0.6,1,5.4,9,0.6
102642012,1,13,12,1.08333333333333,1,4.29,8,0.53625
102642013,5,33.51,14,2.39357142857143,3,12.82,12,1.06833333333333
102642015,1,8,14,0.571428571428571,3,12.82,11,1.16545454545455
102672009,1,4.9,13,0.376923076923077,1,3.75,7,0.535714285714286
102672012,5,39.75,18,2.20833333333333,1,3.66,3,1.22
102672014,1,9,14,0.642857142857143,4,17.67,8,2.20875
102692010,2,10.55,8,1.31875,2,7,5,1.4
